In this analyse, we chose lmbd=0.01, eta=0.01 and 300 epochs...

n_layers: 1, batch_size:10, n_neurons:5 gives score of: [0.6482295989990234, 0.6666666865348816] 
n_layers: 1, batch_size:180, n_neurons:35 gives score of: [0.5557542443275452, 0.8666666746139526] 
n_layers: 1, batch_size:180, n_neurons:40 gives score of: [0.41594550013542175, 0.8999999761581421] 
n_layers: 1, batch_size:180, n_neurons:45 gives score of: [0.4176008999347687, 0.8666666746139526] 
n_layers: 1, batch_size:180, n_neurons:50 gives score of: [0.79648357629776, 0.8500000238418579] 
n_layers: 1, batch_size:180, n_neurons:55 gives score of: [0.46162402629852295, 0.8333333134651184] 
n_layers: 1, batch_size:180, n_neurons:60 gives score of: [0.5956780910491943, 0.8666666746139526] 
n_layers: 1, batch_size:180, n_neurons:65 gives score of: [0.5382249355316162, 0.800000011920929] 
n_layers: 1, batch_size:180, n_neurons:70 gives score of: [0.49569714069366455, 0.8333333134651184] 
n_layers: 1, batch_size:180, n_neurons:75 gives score of: [0.5196260809898376, 0.8500000238418579] 
n_layers: 1, batch_size:180, n_neurons:80 gives score of: [0.6715272665023804, 0.8166666626930237] 
n_layers: 1, batch_size:190, n_neurons:5 gives score of: [1.9224894046783447, 0.800000011920929] 
n_layers: 1, batch_size:190, n_neurons:10 gives score of: [0.4858158826828003, 0.7666666507720947] 
n_layers: 1, batch_size:190, n_neurons:15 gives score of: [0.49666541814804077, 0.8333333134651184] 
n_layers: 1, batch_size:190, n_neurons:20 gives score of: [0.42281055450439453, 0.8666666746139526] 
n_layers: 1, batch_size:190, n_neurons:25 gives score of: [0.5986748933792114, 0.8166666626930237] 
n_layers: 1, batch_size:190, n_neurons:30 gives score of: [0.4921416938304901, 0.75] 
n_layers: 1, batch_size:190, n_neurons:35 gives score of: [0.5246134996414185, 0.8166666626930237] 
n_layers: 1, batch_size:190, n_neurons:40 gives score of: [0.4454123079776764, 0.8500000238418579] 
n_layers: 1, batch_size:190, n_neurons:45 gives score of: [0.43562692403793335, 0.8666666746139526] 
n_layers: 1, batch_size:190, n_neurons:50 gives score of: [0.4999120831489563, 0.8333333134651184] 
n_layers: 1, batch_size:190, n_neurons:55 gives score of: [0.43544960021972656, 0.8666666746139526] 
n_layers: 1, batch_size:190, n_neurons:60 gives score of: [0.47546398639678955, 0.8500000238418579] 
n_layers: 1, batch_size:190, n_neurons:65 gives score of: [0.5805307626724243, 0.7333333492279053] 
n_layers: 1, batch_size:190, n_neurons:70 gives score of: [0.5264810919761658, 0.8500000238418579] 
n_layers: 1, batch_size:190, n_neurons:75 gives score of: [0.40191325545310974, 0.8833333253860474] 
n_layers: 1, batch_size:190, n_neurons:80 gives score of: [0.44687607884407043, 0.8500000238418579] 
n_layers: 1, batch_size:200, n_neurons:5 gives score of: [0.6367806792259216, 0.75] 
n_layers: 1, batch_size:200, n_neurons:10 gives score of: [1.45045804977417, 0.8333333134651184] 
n_layers: 1, batch_size:200, n_neurons:15 gives score of: [0.49383896589279175, 0.800000011920929] 
n_layers: 1, batch_size:200, n_neurons:20 gives score of: [0.4479910135269165, 0.8833333253860474] 
n_layers: 1, batch_size:200, n_neurons:25 gives score of: [0.42675578594207764, 0.8999999761581421] 
n_layers: 1, batch_size:200, n_neurons:30 gives score of: [0.6210356950759888, 0.8666666746139526] 
n_layers: 1, batch_size:200, n_neurons:35 gives score of: [0.43377038836479187, 0.8500000238418579] 
n_layers: 1, batch_size:200, n_neurons:40 gives score of: [0.47178348898887634, 0.8333333134651184] 
n_layers: 1, batch_size:200, n_neurons:45 gives score of: [0.4746573865413666, 0.8333333134651184] 
n_layers: 1, batch_size:200, n_neurons:50 gives score of: [0.4136582314968109, 0.8999999761581421] 
n_layers: 1, batch_size:200, n_neurons:55 gives score of: [0.6591780185699463, 0.8166666626930237] 
n_layers: 1, batch_size:200, n_neurons:60 gives score of: [0.5588247776031494, 0.8166666626930237] 
n_layers: 1, batch_size:200, n_neurons:65 gives score of: [0.4838957190513611, 0.8333333134651184] 
n_layers: 1, batch_size:200, n_neurons:70 gives score of: [0.4820949137210846, 0.8166666626930237] 
n_layers: 1, batch_size:200, n_neurons:75 gives score of: [0.5653474926948547, 0.8500000238418579] 
n_layers: 1, batch_size:200, n_neurons:80 gives score of: [0.6460632085800171, 0.8666666746139526] 
n_layers: 2, batch_size:10, n_neurons:5 gives score of: [0.5070268511772156, 0.75] 
n_layers: 2, batch_size:10, n_neurons:10 gives score of: [0.5189855098724365, 0.8333333134651184] 
n_layers: 2, batch_size:10, n_neurons:15 gives score of: [0.7381877899169922, 0.6833333373069763] 
n_layers: 2, batch_size:10, n_neurons:20 gives score of: [0.608655571937561, 0.7666666507720947] 
n_layers: 2, batch_size:10, n_neurons:25 gives score of: [0.51583331823349, 0.8333333134651184] 
n_layers: 2, batch_size:10, n_neurons:30 gives score of: [0.46346884965896606, 0.8833333253860474] 
n_layers: 2, batch_size:10, n_neurons:35 gives score of: [0.5083605051040649, 0.8166666626930237] 
n_layers: 2, batch_size:10, n_neurons:40 gives score of: [0.6087465882301331, 0.8166666626930237] 
n_layers: 2, batch_size:10, n_neurons:45 gives score of: [0.5408183932304382, 0.8500000238418579] 
n_layers: 2, batch_size:10, n_neurons:50 gives score of: [0.5066893696784973, 0.8500000238418579] 
n_layers: 2, batch_size:10, n_neurons:55 gives score of: [0.5838497281074524, 0.8500000238418579] 
n_layers: 2, batch_size:10, n_neurons:60 gives score of: [0.526447594165802, 0.8333333134651184] 
n_layers: 2, batch_size:10, n_neurons:65 gives score of: [0.7081541419029236, 0.800000011920929] 
n_layers: 2, batch_size:10, n_neurons:70 gives score of: [0.5301849842071533, 0.8333333134651184] 
n_layers: 2, batch_size:10, n_neurons:75 gives score of: [0.7220510840415955, 0.7666666507720947] 
n_layers: 2, batch_size:10, n_neurons:80 gives score of: [0.46871134638786316, 0.8500000238418579] 
n_layers: 2, batch_size:20, n_neurons:5 gives score of: [1.036879062652588, 0.5333333611488342] 
n_layers: 2, batch_size:20, n_neurons:10 gives score of: [0.4316984713077545, 0.8666666746139526] 
n_layers: 2, batch_size:20, n_neurons:15 gives score of: [0.7041845917701721, 0.6833333373069763] 
n_layers: 2, batch_size:20, n_neurons:20 gives score of: [0.6788575649261475, 0.8333333134651184] 
n_layers: 2, batch_size:20, n_neurons:25 gives score of: [0.44927114248275757, 0.8500000238418579] 
n_layers: 2, batch_size:20, n_neurons:30 gives score of: [0.6393985748291016, 0.7666666507720947] 
n_layers: 2, batch_size:20, n_neurons:35 gives score of: [0.5785597562789917, 0.8166666626930237] 
n_layers: 2, batch_size:20, n_neurons:40 gives score of: [0.5612749457359314, 0.8500000238418579] 
n_layers: 2, batch_size:20, n_neurons:45 gives score of: [0.5635470151901245, 0.8333333134651184] 
n_layers: 2, batch_size:20, n_neurons:50 gives score of: [0.5927944183349609, 0.800000011920929] 
n_layers: 2, batch_size:20, n_neurons:55 gives score of: [0.5963432192802429, 0.8500000238418579] 
n_layers: 2, batch_size:20, n_neurons:60 gives score of: [0.5863515138626099, 0.8500000238418579] 
n_layers: 2, batch_size:20, n_neurons:65 gives score of: [0.557630717754364, 0.8666666746139526] 
n_layers: 2, batch_size:20, n_neurons:70 gives score of: [0.5867261290550232, 0.8500000238418579] 
n_layers: 2, batch_size:20, n_neurons:75 gives score of: [0.8125429749488831, 0.7166666388511658] 
n_layers: 2, batch_size:20, n_neurons:80 gives score of: [0.9380357265472412, 0.6666666865348816] 
n_layers: 2, batch_size:30, n_neurons:5 gives score of: [1.3059712648391724, 0.5666666626930237] 
n_layers: 2, batch_size:30, n_neurons:10 gives score of: [0.6212820410728455, 0.699999988079071] 
n_layers: 2, batch_size:30, n_neurons:15 gives score of: [0.5761088132858276, 0.7333333492279053] 
n_layers: 2, batch_size:30, n_neurons:20 gives score of: [0.5509480834007263, 0.8333333134651184] 
n_layers: 2, batch_size:30, n_neurons:25 gives score of: [0.9102002382278442, 0.7166666388511658] 
n_layers: 2, batch_size:30, n_neurons:30 gives score of: [0.6472058892250061, 0.8500000238418579] 
n_layers: 2, batch_size:30, n_neurons:35 gives score of: [0.5649363398551941, 0.8666666746139526] 
n_layers: 2, batch_size:30, n_neurons:40 gives score of: [0.7531235814094543, 0.75] 
n_layers: 2, batch_size:30, n_neurons:45 gives score of: [0.7256128787994385, 0.7333333492279053] 
n_layers: 2, batch_size:30, n_neurons:50 gives score of: [1.1294515132904053, 0.6333333253860474] 
n_layers: 2, batch_size:30, n_neurons:55 gives score of: [0.5480308532714844, 0.8500000238418579] 
n_layers: 2, batch_size:30, n_neurons:60 gives score of: [0.6073437929153442, 0.8166666626930237] 
n_layers: 2, batch_size:30, n_neurons:65 gives score of: [0.7298851013183594, 0.7666666507720947] 
n_layers: 2, batch_size:30, n_neurons:70 gives score of: [0.5854753851890564, 0.8166666626930237] 
n_layers: 2, batch_size:30, n_neurons:75 gives score of: [0.5776688456535339, 0.8333333134651184] 
n_layers: 2, batch_size:30, n_neurons:80 gives score of: [0.6307739019393921, 0.8500000238418579] 
n_layers: 2, batch_size:40, n_neurons:5 gives score of: [0.6884346008300781, 0.5833333134651184] 
n_layers: 2, batch_size:40, n_neurons:10 gives score of: [0.5623029470443726, 0.7166666388511658] 
n_layers: 2, batch_size:40, n_neurons:15 gives score of: [0.5747725963592529, 0.8166666626930237] 
n_layers: 2, batch_size:40, n_neurons:20 gives score of: [0.4590815007686615, 0.8833333253860474] 
n_layers: 2, batch_size:40, n_neurons:25 gives score of: [0.5231044292449951, 0.8666666746139526] 
n_layers: 2, batch_size:40, n_neurons:30 gives score of: [0.6226034760475159, 0.7666666507720947] 
n_layers: 2, batch_size:40, n_neurons:35 gives score of: [0.49906522035598755, 0.8333333134651184] 
n_layers: 2, batch_size:40, n_neurons:40 gives score of: [0.4983783960342407, 0.8666666746139526] 
n_layers: 2, batch_size:40, n_neurons:45 gives score of: [0.7576919794082642, 0.7833333611488342] 
n_layers: 2, batch_size:40, n_neurons:50 gives score of: [0.6266744136810303, 0.8333333134651184] 
n_layers: 2, batch_size:40, n_neurons:55 gives score of: [0.584258496761322, 0.8666666746139526] 
n_layers: 2, batch_size:40, n_neurons:60 gives score of: [0.6967941522598267, 0.7666666507720947] 
n_layers: 2, batch_size:40, n_neurons:65 gives score of: [0.7354202270507812, 0.7833333611488342] 
n_layers: 2, batch_size:40, n_neurons:70 gives score of: [0.8186295628547668, 0.7333333492279053] 
n_layers: 2, batch_size:40, n_neurons:75 gives score of: [0.7822578549385071, 0.8333333134651184] 
n_layers: 2, batch_size:40, n_neurons:80 gives score of: [0.6604111790657043, 0.8500000238418579] 
n_layers: 2, batch_size:50, n_neurons:5 gives score of: [0.622829794883728, 0.699999988079071] 
n_layers: 2, batch_size:50, n_neurons:10 gives score of: [0.4932539165019989, 0.8333333134651184] 
n_layers: 2, batch_size:50, n_neurons:15 gives score of: [0.5779641270637512, 0.800000011920929] 
n_layers: 2, batch_size:50, n_neurons:20 gives score of: [0.5824947357177734, 0.8166666626930237] 
n_layers: 2, batch_size:50, n_neurons:25 gives score of: [0.5737210512161255, 0.7833333611488342] 
n_layers: 2, batch_size:50, n_neurons:30 gives score of: [0.7374553680419922, 0.800000011920929] 
n_layers: 2, batch_size:50, n_neurons:35 gives score of: [0.5143498182296753, 0.8500000238418579] 
n_layers: 2, batch_size:50, n_neurons:40 gives score of: [0.6183136701583862, 0.800000011920929] 
n_layers: 2, batch_size:50, n_neurons:45 gives score of: [0.6209814548492432, 0.8333333134651184] 
n_layers: 2, batch_size:50, n_neurons:50 gives score of: [0.6285144090652466, 0.8333333134651184] 
n_layers: 2, batch_size:50, n_neurons:55 gives score of: [0.5936476588249207, 0.8333333134651184] 
n_layers: 2, batch_size:50, n_neurons:60 gives score of: [0.6857602596282959, 0.8333333134651184] 
n_layers: 2, batch_size:50, n_neurons:65 gives score of: [0.5603654980659485, 0.8500000238418579] 
n_layers: 2, batch_size:50, n_neurons:70 gives score of: [0.6654874086380005, 0.8166666626930237] 
n_layers: 2, batch_size:50, n_neurons:75 gives score of: [0.7041746377944946, 0.800000011920929] 
n_layers: 2, batch_size:50, n_neurons:80 gives score of: [0.5640780329704285, 0.8166666626930237] 
n_layers: 2, batch_size:60, n_neurons:5 gives score of: [0.7243617177009583, 0.550000011920929] 
n_layers: 2, batch_size:60, n_neurons:10 gives score of: [0.5840101838111877, 0.75] 
n_layers: 2, batch_size:60, n_neurons:15 gives score of: [0.45588839054107666, 0.8999999761581421] 
n_layers: 2, batch_size:60, n_neurons:20 gives score of: [0.5495314002037048, 0.8666666746139526] 
n_layers: 2, batch_size:60, n_neurons:25 gives score of: [0.5768049955368042, 0.8500000238418579] 
n_layers: 2, batch_size:60, n_neurons:30 gives score of: [0.5283745527267456, 0.8666666746139526] 
n_layers: 2, batch_size:60, n_neurons:35 gives score of: [0.6883903741836548, 0.8333333134651184] 
n_layers: 2, batch_size:60, n_neurons:40 gives score of: [0.5621400475502014, 0.8166666626930237] 
n_layers: 2, batch_size:60, n_neurons:45 gives score of: [0.6143796443939209, 0.800000011920929] 
n_layers: 2, batch_size:60, n_neurons:50 gives score of: [0.8105318546295166, 0.7833333611488342] 
n_layers: 2, batch_size:60, n_neurons:55 gives score of: [0.6094638109207153, 0.8333333134651184] 
n_layers: 2, batch_size:60, n_neurons:60 gives score of: [0.6016896367073059, 0.8500000238418579] 
n_layers: 2, batch_size:60, n_neurons:65 gives score of: [0.616703450679779, 0.8333333134651184] 
n_layers: 2, batch_size:60, n_neurons:70 gives score of: [0.6162270903587341, 0.7833333611488342] 
n_layers: 2, batch_size:60, n_neurons:75 gives score of: [0.6501227021217346, 0.8500000238418579] 
n_layers: 2, batch_size:60, n_neurons:80 gives score of: [0.6376688480377197, 0.8500000238418579] 
n_layers: 2, batch_size:70, n_neurons:5 gives score of: [0.648307204246521, 0.6333333253860474] 
n_layers: 2, batch_size:70, n_neurons:10 gives score of: [0.6857335567474365, 0.8333333134651184] 
n_layers: 2, batch_size:70, n_neurons:15 gives score of: [0.5405454039573669, 0.8833333253860474] 
n_layers: 2, batch_size:70, n_neurons:20 gives score of: [0.545043408870697, 0.800000011920929] 
n_layers: 2, batch_size:70, n_neurons:25 gives score of: [0.6801928281784058, 0.699999988079071] 
n_layers: 2, batch_size:70, n_neurons:30 gives score of: [0.5419321656227112, 0.7833333611488342] 
n_layers: 2, batch_size:70, n_neurons:35 gives score of: [0.6367445588111877, 0.7833333611488342] 
n_layers: 2, batch_size:70, n_neurons:40 gives score of: [0.9355247020721436, 0.699999988079071] 
n_layers: 2, batch_size:70, n_neurons:45 gives score of: [0.6448193192481995, 0.8166666626930237] 
n_layers: 2, batch_size:70, n_neurons:50 gives score of: [0.7414446473121643, 0.8333333134651184] 
n_layers: 2, batch_size:70, n_neurons:55 gives score of: [0.6250743865966797, 0.8666666746139526] 
n_layers: 2, batch_size:70, n_neurons:60 gives score of: [0.6568262577056885, 0.8166666626930237] 
n_layers: 2, batch_size:70, n_neurons:65 gives score of: [0.6645315885543823, 0.8500000238418579] 
n_layers: 2, batch_size:70, n_neurons:70 gives score of: [0.6391633152961731, 0.8333333134651184] 
n_layers: 2, batch_size:70, n_neurons:75 gives score of: [0.6723092198371887, 0.8500000238418579] 
n_layers: 2, batch_size:70, n_neurons:80 gives score of: [0.6937774419784546, 0.8500000238418579] 
n_layers: 2, batch_size:80, n_neurons:5 gives score of: [0.7560168504714966, 0.550000011920929] 
n_layers: 2, batch_size:80, n_neurons:10 gives score of: [0.7560822367668152, 0.8500000238418579] 
n_layers: 2, batch_size:80, n_neurons:15 gives score of: [0.6671733856201172, 0.8166666626930237] 
n_layers: 2, batch_size:80, n_neurons:20 gives score of: [0.6117283701896667, 0.8500000238418579] 
n_layers: 2, batch_size:80, n_neurons:25 gives score of: [0.5314064025878906, 0.8500000238418579] 
n_layers: 2, batch_size:80, n_neurons:30 gives score of: [0.5064866542816162, 0.8666666746139526] 
n_layers: 2, batch_size:80, n_neurons:35 gives score of: [0.5428364872932434, 0.800000011920929] 
n_layers: 2, batch_size:80, n_neurons:40 gives score of: [0.5627167224884033, 0.8500000238418579] 
n_layers: 2, batch_size:80, n_neurons:45 gives score of: [0.6651026606559753, 0.8333333134651184] 
n_layers: 2, batch_size:80, n_neurons:50 gives score of: [0.5533284544944763, 0.8666666746139526] 
n_layers: 2, batch_size:80, n_neurons:55 gives score of: [0.6083917021751404, 0.8666666746139526] 
n_layers: 2, batch_size:80, n_neurons:60 gives score of: [0.6251514554023743, 0.8500000238418579] 
n_layers: 2, batch_size:80, n_neurons:65 gives score of: [0.6785064935684204, 0.7666666507720947] 
n_layers: 2, batch_size:80, n_neurons:70 gives score of: [0.7506077289581299, 0.8333333134651184] 
n_layers: 2, batch_size:80, n_neurons:75 gives score of: [0.6519109010696411, 0.8666666746139526] 
n_layers: 2, batch_size:80, n_neurons:80 gives score of: [0.687036395072937, 0.8500000238418579] 
n_layers: 2, batch_size:90, n_neurons:5 gives score of: [0.6914599537849426, 0.550000011920929] 
n_layers: 2, batch_size:90, n_neurons:10 gives score of: [0.7182415723800659, 0.6666666865348816] 
n_layers: 2, batch_size:90, n_neurons:15 gives score of: [0.736217737197876, 0.699999988079071] 
n_layers: 2, batch_size:90, n_neurons:20 gives score of: [0.4953782260417938, 0.8999999761581421] 
n_layers: 2, batch_size:90, n_neurons:25 gives score of: [0.5434954166412354, 0.8333333134651184] 
n_layers: 2, batch_size:90, n_neurons:30 gives score of: [0.7120075225830078, 0.800000011920929] 
n_layers: 2, batch_size:90, n_neurons:35 gives score of: [0.6117280125617981, 0.8500000238418579] 
n_layers: 2, batch_size:90, n_neurons:40 gives score of: [0.5120497345924377, 0.8500000238418579] 
n_layers: 2, batch_size:90, n_neurons:45 gives score of: [0.6531841158866882, 0.800000011920929] 
n_layers: 2, batch_size:90, n_neurons:50 gives score of: [0.6200810670852661, 0.8333333134651184] 
n_layers: 2, batch_size:90, n_neurons:55 gives score of: [0.7606099247932434, 0.75] 
n_layers: 2, batch_size:90, n_neurons:60 gives score of: [0.6115100979804993, 0.7833333611488342] 
n_layers: 2, batch_size:90, n_neurons:65 gives score of: [0.738891065120697, 0.8500000238418579] 
n_layers: 2, batch_size:90, n_neurons:70 gives score of: [0.6761338710784912, 0.8500000238418579] 
n_layers: 2, batch_size:90, n_neurons:75 gives score of: [0.6888023018836975, 0.8166666626930237] 
n_layers: 2, batch_size:90, n_neurons:80 gives score of: [0.6517189145088196, 0.8333333134651184] 
n_layers: 2, batch_size:100, n_neurons:5 gives score of: [0.5006964206695557, 0.8166666626930237] 
n_layers: 2, batch_size:100, n_neurons:10 gives score of: [0.6378223299980164, 0.7333333492279053] 
n_layers: 2, batch_size:100, n_neurons:15 gives score of: [0.5655879378318787, 0.7833333611488342] 
n_layers: 2, batch_size:100, n_neurons:20 gives score of: [0.6767385601997375, 0.8166666626930237] 
n_layers: 2, batch_size:100, n_neurons:25 gives score of: [0.5762925744056702, 0.8666666746139526] 
n_layers: 2, batch_size:100, n_neurons:30 gives score of: [0.6335816979408264, 0.8166666626930237] 
n_layers: 2, batch_size:100, n_neurons:35 gives score of: [0.5617266297340393, 0.8500000238418579] 
n_layers: 2, batch_size:100, n_neurons:40 gives score of: [0.583497941493988, 0.8500000238418579] 
n_layers: 2, batch_size:100, n_neurons:45 gives score of: [0.88560950756073, 0.75] 
n_layers: 2, batch_size:100, n_neurons:50 gives score of: [0.6524983644485474, 0.800000011920929] 
n_layers: 2, batch_size:100, n_neurons:55 gives score of: [0.6256541609764099, 0.8500000238418579] 
n_layers: 2, batch_size:100, n_neurons:60 gives score of: [0.9038868546485901, 0.6499999761581421] 
n_layers: 2, batch_size:100, n_neurons:65 gives score of: [0.7565898895263672, 0.8166666626930237] 
n_layers: 2, batch_size:100, n_neurons:70 gives score of: [0.6348909735679626, 0.8666666746139526] 
n_layers: 2, batch_size:100, n_neurons:75 gives score of: [0.6702294945716858, 0.8333333134651184] 
n_layers: 2, batch_size:100, n_neurons:80 gives score of: [0.7599374055862427, 0.8500000238418579] 
n_layers: 2, batch_size:110, n_neurons:5 gives score of: [0.6573799848556519, 0.699999988079071] 
n_layers: 2, batch_size:110, n_neurons:10 gives score of: [0.5653724670410156, 0.7833333611488342] 
n_layers: 2, batch_size:110, n_neurons:15 gives score of: [0.7283397912979126, 0.8333333134651184] 
n_layers: 2, batch_size:110, n_neurons:20 gives score of: [0.5682260990142822, 0.8166666626930237] 
n_layers: 2, batch_size:110, n_neurons:25 gives score of: [0.8512036800384521, 0.7666666507720947] 
n_layers: 2, batch_size:110, n_neurons:30 gives score of: [0.55138099193573, 0.8333333134651184] 
n_layers: 2, batch_size:110, n_neurons:35 gives score of: [0.6042166948318481, 0.8166666626930237] 
n_layers: 2, batch_size:110, n_neurons:40 gives score of: [0.6802915930747986, 0.8333333134651184] 
n_layers: 2, batch_size:110, n_neurons:45 gives score of: [0.6984415650367737, 0.8166666626930237] 
n_layers: 2, batch_size:110, n_neurons:50 gives score of: [0.6093761324882507, 0.8500000238418579] 
n_layers: 2, batch_size:110, n_neurons:55 gives score of: [0.6705693602561951, 0.8500000238418579] 
n_layers: 2, batch_size:110, n_neurons:60 gives score of: [0.9858357906341553, 0.6333333253860474] 
n_layers: 2, batch_size:110, n_neurons:65 gives score of: [0.5956215262413025, 0.8333333134651184] 
n_layers: 2, batch_size:110, n_neurons:70 gives score of: [0.8946496248245239, 0.7333333492279053] 
n_layers: 2, batch_size:110, n_neurons:75 gives score of: [0.7753051519393921, 0.8333333134651184] 
n_layers: 2, batch_size:110, n_neurons:80 gives score of: [0.7470174431800842, 0.8333333134651184] 
n_layers: 2, batch_size:120, n_neurons:5 gives score of: [0.678351104259491, 0.6833333373069763] 
n_layers: 2, batch_size:120, n_neurons:10 gives score of: [0.5002532601356506, 0.8666666746139526] 
n_layers: 2, batch_size:120, n_neurons:15 gives score of: [0.5082763433456421, 0.8500000238418579] 
n_layers: 2, batch_size:120, n_neurons:20 gives score of: [0.5820885300636292, 0.8666666746139526] 
n_layers: 2, batch_size:120, n_neurons:25 gives score of: [0.5199794769287109, 0.8333333134651184] 
n_layers: 2, batch_size:120, n_neurons:30 gives score of: [0.6538953185081482, 0.7666666507720947] 
n_layers: 2, batch_size:120, n_neurons:35 gives score of: [0.6106439232826233, 0.8500000238418579] 
n_layers: 2, batch_size:120, n_neurons:40 gives score of: [0.573031485080719, 0.8166666626930237] 
n_layers: 2, batch_size:120, n_neurons:45 gives score of: [0.5413616299629211, 0.8500000238418579] 
n_layers: 2, batch_size:120, n_neurons:50 gives score of: [0.7389842867851257, 0.7833333611488342] 
n_layers: 2, batch_size:120, n_neurons:55 gives score of: [0.642554521560669, 0.8999999761581421] 
n_layers: 2, batch_size:120, n_neurons:60 gives score of: [0.6627638339996338, 0.8333333134651184] 
n_layers: 2, batch_size:120, n_neurons:65 gives score of: [0.6171346306800842, 0.8500000238418579] 
n_layers: 2, batch_size:120, n_neurons:70 gives score of: [0.6725708842277527, 0.7833333611488342] 
n_layers: 2, batch_size:120, n_neurons:75 gives score of: [0.7054822444915771, 0.8666666746139526] 
n_layers: 2, batch_size:120, n_neurons:80 gives score of: [0.9195127487182617, 0.7333333492279053] 
n_layers: 2, batch_size:130, n_neurons:5 gives score of: [0.6929294466972351, 0.550000011920929] 
n_layers: 2, batch_size:130, n_neurons:10 gives score of: [0.655260443687439, 0.7166666388511658] 
n_layers: 2, batch_size:130, n_neurons:15 gives score of: [0.503144383430481, 0.8333333134651184] 
n_layers: 2, batch_size:130, n_neurons:20 gives score of: [0.6608904600143433, 0.7666666507720947] 
n_layers: 2, batch_size:130, n_neurons:25 gives score of: [0.6068344712257385, 0.800000011920929] 
n_layers: 2, batch_size:130, n_neurons:30 gives score of: [0.6381747126579285, 0.800000011920929] 
n_layers: 2, batch_size:130, n_neurons:35 gives score of: [0.5582076907157898, 0.8833333253860474] 
n_layers: 2, batch_size:130, n_neurons:40 gives score of: [0.680154025554657, 0.8500000238418579] 
n_layers: 2, batch_size:130, n_neurons:45 gives score of: [0.7414168119430542, 0.8166666626930237] 
n_layers: 2, batch_size:130, n_neurons:50 gives score of: [0.6381416320800781, 0.7666666507720947] 
n_layers: 2, batch_size:130, n_neurons:55 gives score of: [0.8639745116233826, 0.7166666388511658] 
n_layers: 2, batch_size:130, n_neurons:60 gives score of: [0.6781307458877563, 0.8333333134651184] 
n_layers: 2, batch_size:130, n_neurons:65 gives score of: [0.6393077969551086, 0.8666666746139526] 
n_layers: 2, batch_size:130, n_neurons:70 gives score of: [0.7018458247184753, 0.8500000238418579] 
n_layers: 2, batch_size:130, n_neurons:75 gives score of: [0.6440556645393372, 0.8500000238418579] 
n_layers: 2, batch_size:130, n_neurons:80 gives score of: [0.7996770143508911, 0.8500000238418579] 
n_layers: 2, batch_size:140, n_neurons:5 gives score of: [1.2746238708496094, 0.5333333611488342] 
n_layers: 2, batch_size:140, n_neurons:10 gives score of: [0.6538099050521851, 0.699999988079071] 
n_layers: 2, batch_size:140, n_neurons:15 gives score of: [0.7338771820068359, 0.7833333611488342] 
n_layers: 2, batch_size:140, n_neurons:20 gives score of: [0.5793007016181946, 0.8333333134651184] 
n_layers: 2, batch_size:140, n_neurons:25 gives score of: [0.9114015102386475, 0.7833333611488342] 
n_layers: 2, batch_size:140, n_neurons:30 gives score of: [0.6271790862083435, 0.8500000238418579] 
n_layers: 2, batch_size:140, n_neurons:35 gives score of: [0.7127315998077393, 0.8166666626930237] 
n_layers: 2, batch_size:140, n_neurons:40 gives score of: [0.7974924445152283, 0.7666666507720947] 
n_layers: 2, batch_size:140, n_neurons:45 gives score of: [0.6661052107810974, 0.800000011920929] 
n_layers: 2, batch_size:140, n_neurons:50 gives score of: [0.6734732985496521, 0.8166666626930237] 
n_layers: 2, batch_size:140, n_neurons:55 gives score of: [0.6296136379241943, 0.8166666626930237] 
n_layers: 2, batch_size:140, n_neurons:60 gives score of: [0.6546562314033508, 0.8333333134651184] 
n_layers: 2, batch_size:140, n_neurons:65 gives score of: [0.7700677514076233, 0.8166666626930237] 
n_layers: 2, batch_size:140, n_neurons:70 gives score of: [0.8146256804466248, 0.8500000238418579] 
n_layers: 2, batch_size:140, n_neurons:75 gives score of: [0.6562655568122864, 0.8666666746139526] 
n_layers: 2, batch_size:140, n_neurons:80 gives score of: [0.7290452122688293, 0.8333333134651184] 
n_layers: 2, batch_size:150, n_neurons:5 gives score of: [0.642669141292572, 0.6833333373069763] 
n_layers: 2, batch_size:150, n_neurons:10 gives score of: [1.1575767993927002, 0.8166666626930237] 
n_layers: 2, batch_size:150, n_neurons:15 gives score of: [0.610042929649353, 0.7833333611488342] 
n_layers: 2, batch_size:150, n_neurons:20 gives score of: [0.48163750767707825, 0.8500000238418579] 
n_layers: 2, batch_size:150, n_neurons:25 gives score of: [0.7352802157402039, 0.7833333611488342] 
n_layers: 2, batch_size:150, n_neurons:30 gives score of: [0.619082510471344, 0.8333333134651184] 
n_layers: 2, batch_size:150, n_neurons:35 gives score of: [0.5693768858909607, 0.8500000238418579] 
n_layers: 2, batch_size:150, n_neurons:40 gives score of: [0.8777705430984497, 0.8333333134651184] 
n_layers: 2, batch_size:150, n_neurons:45 gives score of: [0.558472216129303, 0.8666666746139526] 
n_layers: 2, batch_size:150, n_neurons:50 gives score of: [0.6115001440048218, 0.8333333134651184] 
n_layers: 2, batch_size:150, n_neurons:55 gives score of: [0.6742077469825745, 0.8166666626930237] 
n_layers: 2, batch_size:150, n_neurons:60 gives score of: [0.723352313041687, 0.7333333492279053] 
n_layers: 2, batch_size:150, n_neurons:65 gives score of: [0.7038194537162781, 0.8333333134651184] 
n_layers: 2, batch_size:150, n_neurons:70 gives score of: [0.6665578484535217, 0.8500000238418579] 
